2017-02-02 21:34:37 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:34:57 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:35:17 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:35:37 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:35:57 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:36:17 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:36:37 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:36:57 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:37:17 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:37:37 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:37:57 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:38:17 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:38:37 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:38:57 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:44:36 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-02 21:44:52 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-02 21:44:55 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-02 21:46:47 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-02 21:47:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:47:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:47:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:47:52 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:47:53 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:47:54 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:47:54 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:47:56 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:48:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:48:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:48:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:49:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:49:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:49:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:50:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:50:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:50:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:51:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:51:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:51:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:52:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:52:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:52:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:53:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:53:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:53:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:54:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:54:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:54:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:55:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:55:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:55:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:56:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:56:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:56:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:57:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:57:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:57:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:58:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:58:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:58:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:59:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:59:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 21:59:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:00:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:00:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:00:48 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:01:08 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:01:28 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
2017-02-02 22:01:46 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-02 22:02:06 | 128.125.252.188 |  | Chrome-55.0.2883.87-Windows 7 |  (D) 
