2017-02-17 12:49:16 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-17 12:49:17 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS | /usr/bin/dcmj2pnm -v -o -im /home/bme528/www/wado/kohana/application/cache/.images/1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2/1.3.6.1.4.1.33437.11.3.5604041.12963173613.145.3.0/1.3.6.1.4.1.33437.11.4.5604041.12963173613.145.4.0.0.0.dcm 2>&1
2017-02-17 12:49:21 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-02-17 12:49:25 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-17 12:49:28 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-17 12:49:35 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-17 12:49:39 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-17 12:49:48 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-17 12:50:00 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:50:19 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:50:40 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:50:59 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:52:29 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-17 12:52:49 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:53:13 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-17 12:53:23 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:53:34 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:53:54 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:54:15 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:54:35 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:54:54 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:55:14 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:55:34 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:55:54 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:56:14 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-17 12:56:34 | 68.181.207.102 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
