2017-02-10 11:35:10 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-10 11:35:11 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 | /usr/bin/dcmj2pnm -v -o -im /home/bme528/www/wado/kohana/application/cache/.images/1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2/1.3.6.1.4.1.33437.11.3.5604041.12963173613.145.3.0/1.3.6.1.4.1.33437.11.4.5604041.12963173613.145.4.0.0.0.dcm 2>&1
2017-02-10 11:35:36 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) 
2017-02-10 11:35:55 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) 
2017-02-10 11:36:19 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) 
2017-02-10 11:36:39 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) 
2017-02-10 11:36:56 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) 
2017-02-10 11:37:20 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) 
2017-02-10 11:37:37 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) 
2017-02-10 11:37:42 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-10 11:38:02 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) 
2017-02-10 11:38:20 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-10 11:38:40 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) 
2017-02-10 11:39:00 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) 
2017-02-10 11:39:23 | 68.181.97.13 |  | Chrome-56.0.2924.87-Windows 7 |  (D) 
