2017-02-13 19:10:30 | 68.181.207.91 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-13 19:10:32 | 68.181.207.91 |  | Chrome-55.0.2883.87-Unknown Windows OS | /usr/bin/dcmj2pnm -v -o -im /home/bme528/www/wado/kohana/application/cache/.images/1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2/1.3.6.1.4.1.33437.11.3.5604041.12963173613.145.3.0/1.3.6.1.4.1.33437.11.4.5604041.12963173613.145.4.0.0.0.dcm 2>&1
2017-02-13 19:10:52 | 68.181.207.91 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-13 19:11:12 | 68.181.207.91 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-13 19:11:32 | 68.181.207.91 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-13 19:11:45 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-13 19:12:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:12:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:12:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:13:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:13:39 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:13:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:14:09 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:14:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:14:55 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:15:16 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:15:29 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:15:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:16:10 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:16:28 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:16:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:17:09 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:17:29 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:17:50 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:19:29 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:19:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:20:15 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:20:29 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:20:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:21:08 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:21:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:21:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:22:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:22:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:22:49 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:23:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:23:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:23:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:24:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:24:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:24:49 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:25:09 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:25:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:26:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:26:27 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:26:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:27:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:27:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:27:47 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:28:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:28:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:28:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:29:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:29:33 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:29:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:30:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:30:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:30:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:31:09 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:31:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:31:53 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:32:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:32:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:32:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:33:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:33:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:33:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:34:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:34:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:34:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:35:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:35:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:35:48 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:36:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:36:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:36:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:37:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:37:29 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:37:49 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:38:09 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:38:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:38:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:39:06 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:39:26 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-13 19:39:46 | 68.181.207.119 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
