2017-02-03 11:20:55 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:21:12 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:21:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:21:32 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:21:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:21:52 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:21:55 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:22:12 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:22:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:22:29 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:22:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:22:49 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:22:55 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:23:09 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:23:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:23:32 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:23:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:23:49 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:23:55 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:24:09 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:24:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:24:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:24:58 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:25:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:25:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:25:58 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:26:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:26:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:26:55 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:27:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:27:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:27:55 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:28:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:28:38 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:28:55 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:29:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:29:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:29:58 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:30:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:30:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:30:55 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:31:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:31:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:31:55 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:32:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:32:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:32:55 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:33:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:33:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:33:45 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-03 11:33:46 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS | /usr/bin/dcmj2pnm -v -o -im /home/bme528/www/wado/kohana/application/cache/.images/1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2/1.3.6.1.4.1.33437.11.3.5604041.12963173613.145.3.0/1.3.6.1.4.1.33437.11.4.5604041.12963173613.145.4.0.0.0.dcm 2>&1
2017-02-03 11:33:55 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:34:05 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:34:15 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:34:25 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:34:35 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:34:45 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:34:55 | 68.181.88.175 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:35:05 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:35:25 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:35:45 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:36:05 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:36:28 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:36:45 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:37:05 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:37:34 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:37:45 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:38:05 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:38:34 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:38:45 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:39:05 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:39:43 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.3.6.1.4.1.33437.11.2.5604041.12963173612.145.2
2017-02-03 11:40:09 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:40:25 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:40:46 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:41:05 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:41:26 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:41:46 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:43:01 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-03 11:43:21 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:43:43 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:44:01 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:44:21 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:44:42 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:45:02 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-03 11:45:55 | 68.181.88.48 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
