2017-02-22 0:00:44 | 173.0.117.25 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-02-22 0:00:47 | 173.0.117.25 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=2.16.840.1.114151.4.1721.41175.387.4714524
2017-02-22 0:01:05 | 173.0.117.25 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-22 0:01:25 | 173.0.117.25 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-22 0:01:45 | 173.0.117.25 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-22 0:02:05 | 173.0.117.25 |  | Chrome-55.0.2883.87-Unknown Windows OS |  (D) 
2017-02-22 15:33:25 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) study @ IPILab site=IPILab&study_uid=1.2.826.0.1.3680043.2.133.1.3.52.1.83.1752
2017-02-22 15:33:38 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:33:45 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:34:05 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:34:25 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:34:53 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:35:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:35:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:35:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:36:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:36:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:36:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:37:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:37:27 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:37:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:38:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:38:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:38:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:39:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:39:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:39:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:40:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:40:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:40:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:41:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:41:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:41:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:42:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:42:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:42:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:43:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:43:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:43:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:44:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:44:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:44:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:45:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:45:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:45:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:46:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:46:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:46:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:47:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:47:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:47:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:48:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:48:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:48:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:49:09 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:49:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:49:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:50:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:50:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:50:49 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:51:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:51:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:51:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:52:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:52:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:52:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:53:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:53:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:53:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:54:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:54:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:54:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:55:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:55:26 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:55:46 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
2017-02-22 15:56:06 | 68.181.88.92 |  | Chrome-56.0.2924.87-Unknown Windows OS |  (D) 
